bibkey,folder,file,title,venue_year,url,pdf_here,copy_source,cited_in_survey
balunovic2024agentdojo,06_evaluation_benchmarks_safety,Papers/_not_in_pool/06_evaluation_benchmarks_safety/AgentDojo_ A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents.pdf,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,Proc. Adv. Neural Inf. Process. Syst. 2024,https://doi.org/10.52202/079017-2636,yes,arXiv,yes
chan2024chateval,02_multi_agent_frameworks,Papers/_not_in_pool/02_multi_agent_frameworks/ChatEval_ Towards Better LLM-based Evaluators through Multi-Agent Debate.pdf,ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate,Proc. Int. Conf. Learn. Represent. 2024,https://openreview.net/forum?id=FQepisCUWu,yes,arXiv,yes
du2024debate,02_multi_agent_frameworks,Papers/_not_in_pool/02_multi_agent_frameworks/Improving Factuality and Reasoning in Language Models through Multiagent Debate.pdf,Improving Factuality and Reasoning in Language Models through Multiagent Debate,Proc. 41st Int. Conf. Mach. Learn. 2024,https://proceedings.mlr.press/v235/du24e.html,yes,arXiv,yes
fernando2024promptbreeder,03_self_evolution,Papers/_not_in_pool/03_self_evolution/PromptBreeder_ Self-Referential Self-Improvement via Prompt Evolution.pdf,PromptBreeder: Self-Referential Self-Improvement via Prompt Evolution,Proc. 41st Int. Conf. Mach. Learn. 2024,https://arxiv.org/abs/2309.16797,yes,arXiv,yes
gao2024textsql,05_industry_applications,Papers/_not_in_pool/05_industry_applications/Text-to-SQL Empowered by Large Language Models_ A Benchmark Evaluation.pdf,Text-to-SQL Empowered by Large Language Models: A Benchmark Evaluation,Proc. VLDB Endow. 2024,https://doi.org/10.14778/3641204.3641221,yes,PVLDB,yes
jeong2024adaptiveRAG,04_context_engineering_icl_memory,Papers/_not_in_pool/04_context_engineering_icl_memory/Adaptive-RAG_ Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity.pdf,Adaptive-RAG: Learning to Adapt Retrieval-Augmented Large Language Models through Question Complexity,Proc. Conf. North Amer. Chapter Assoc. Comput. Linguistics: Human Lang. Technol. 2024,https://aclanthology.org/2024.naacl-long.389/,yes,ACL Anthology,yes
khattab2024dspy,03_self_evolution,Papers/_not_in_pool/03_self_evolution/DSPy_ Compiling Declarative Language Model Calls into Self-Improving Pipelines.pdf,DSPy: Compiling Declarative Language Model Calls into Self-Improving Pipelines,Proc. Int. Conf. Learn. Represent. 2024,https://arxiv.org/abs/2310.03714,yes,arXiv,yes
li2023apibank,06_evaluation_benchmarks_safety,Papers/_not_in_pool/06_evaluation_benchmarks_safety/API-Bank_ A Comprehensive Benchmark for Tool-Augmented LLMs.pdf,API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Proc. Conf. Empirical Methods Natural Lang. Process. 2023,https://aclanthology.org/2023.emnlp-main.187/,yes,ACL Anthology,yes
li2024llmdatamgmt,05_industry_applications,Papers/_not_in_pool/05_industry_applications/LLM for Data Management.pdf,LLM for Data Management,Proc. VLDB Endow. 2024,https://doi.org/10.14778/3685800.3685838,yes,PVLDB,yes
li2024sparsetopology,02_multi_agent_frameworks,Papers/_not_in_pool/02_multi_agent_frameworks/Improving Multi-Agent Debate with Sparse Communication Topology.pdf,Improving Multi-Agent Debate with Sparse Communication Topology,Findings Assoc. Comput. Linguistics: EMNLP 2024,https://doi.org/10.18653/v1/2024.findings-emnlp.427,yes,ACL Anthology,yes
maharana2024locomo,04_context_engineering_icl_memory,Papers/_not_in_pool/04_context_engineering_icl_memory/Evaluating Very Long-Term Conversational Memory of LLM Agents.pdf,Evaluating Very Long-Term Conversational Memory of LLM Agents,Proc. 62nd Annu. Meeting Assoc. Comput. Linguistics 2024,https://doi.org/10.18653/v1/2024.acl-long.747,yes,ACL Anthology,yes
patil2024gorilla,06_evaluation_benchmarks_safety,Papers/_not_in_pool/06_evaluation_benchmarks_safety/Gorilla_ Large Language Model Connected with Massive APIs.pdf,Gorilla: Large Language Model Connected with Massive APIs,Proc. Adv. Neural Inf. Process. Syst. 2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/e4c61f578ff07830f5c37378dd3ecb0d-Abstract-Conference.html,yes,arXiv,yes
pryzant2023protegi,03_self_evolution,Papers/_not_in_pool/03_self_evolution/Automatic Prompt Optimization with Gradient Descent and Beam Search.pdf,Automatic Prompt Optimization with ``Gradient Descent'' and Beam Search,Proc. Conf. Empirical Methods Natural Lang. Process. 2023,https://doi.org/10.18653/v1/2023.emnlp-main.494,yes,ACL Anthology,yes
rubin2022epr,08_demo_selection_icl_sota,Papers/_not_in_pool/08_demo_selection_icl_sota/Learning to Retrieve Prompts for In-Context Learning.pdf,Learning to Retrieve Prompts for In-Context Learning,Proc. Conf. North Amer. Chapter Assoc. Comput. Linguistics: Human Lang. Technol. 2022,,yes,ACL Anthology,yes
shi2023replug,04_context_engineering_icl_memory,Papers/_not_in_pool/04_context_engineering_icl_memory/REPLUG_ Retrieval-Augmented Black-Box Language Models.pdf,REPLUG: Retrieval-Augmented Black-Box Language Models,Proc. Conf. North Amer. Chapter Assoc. Comput. Linguistics: Human Lang. Technol. 2024,https://aclanthology.org/2024.naacl-long.463/,yes,ACL Anthology,yes
su2023votek,08_demo_selection_icl_sota,Papers/_not_in_pool/08_demo_selection_icl_sota/Selective Annotation Makes Language Models Better Few-Shot Learners.pdf,Selective Annotation Makes Language Models Better Few-Shot Learners,Proc. Int. Conf. Learn. Represent. 2023,,yes,arXiv,yes
wang2025cognitive,01_overview_surveys,Papers/_not_in_pool/01_overview_surveys/Cognitive edge computing_ A comprehensive survey on optimizing large models and AI agents for pervasive deployment.pdf,Cognitive edge computing: A comprehensive survey on optimizing large models and AI agents for pervasive deployment,arXiv preprint 2025,https://arxiv.org/abs/2501.03265,yes,arXiv,yes
wu2025longmemeval,04_context_engineering_icl_memory,Papers/_not_in_pool/04_context_engineering_icl_memory/LongMemEval_ Benchmarking Chat Assistants on Long-Term Interactive Memory.pdf,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,Proc. Int. Conf. Learn. Represent. 2025,https://openreview.net/forum?id=pZiyCaVuti,yes,arXiv,yes
xi2023riseagents,01_overview_surveys,Papers/_not_in_pool/01_overview_surveys/The Rise and Potential of Large Language Model Based Agents_ A Survey.pdf,The Rise and Potential of Large Language Model Based Agents: A Survey,arXiv preprint 2023,https://arxiv.org/abs/2309.07864,yes,the library's _misfiled/ folder,yes
xu-etal-2024-knowledge-conflicts,01_overview_surveys,Papers/_not_in_pool/01_overview_surveys/Knowledge Conflicts for LLMs_ A Survey.pdf,Knowledge Conflicts for LLMs: A Survey,Proc. Conf. Empirical Methods Natural Lang. Process. 2024,https://aclanthology.org/2024.emnlp-main.486/,yes,ACL Anthology,yes
xu2026agentdid,06_evaluation_benchmarks_safety,Papers/_not_in_pool/06_evaluation_benchmarks_safety/AgentDID_ Trustless Identity Authentication for AI Agents.pdf,AgentDID: Trustless Identity Authentication for AI Agents,2026,https://arxiv.org/abs/2604.25189,yes,arXiv,yes
zhou2023ape,03_self_evolution,Papers/_not_in_pool/03_self_evolution/Large Language Models Are Human-Level Prompt Engineers.pdf,Large Language Models Are Human-Level Prompt Engineers,Proc. Int. Conf. Learn. Represent. 2023,https://openreview.net/forum?id=92gvk82DE-,yes,arXiv,yes
zhuang2023toolqa,06_evaluation_benchmarks_safety,Papers/_not_in_pool/06_evaluation_benchmarks_safety/ToolQA_ A Dataset for LLM Question Answering with External Tools.pdf,ToolQA: A Dataset for LLM Question Answering with External Tools,Proc. Adv. Neural Inf. Process. Syst. 2023,https://openreview.net/forum?id=pV1xV2RK6I,yes,arXiv,yes
hu2024keplm,,,A Survey of Knowledge Enhanced Pre-Trained Language Models,IEEE Trans. Knowl. Data Eng. 2024,https://doi.org/10.1109/TKDE.2023.3310002,no,"IEEE camera-ready, not redistributable",yes
lu2019conceptdrift,,,Learning under Concept Drift: A Review,IEEE Trans. Knowl. Data Eng. 2019,https://doi.org/10.1109/TKDE.2018.2876857,no,"IEEE camera-ready, not redistributable",yes
mohammadi2025agentevaluation,,,Evaluation and Benchmarking of LLM Agents: A Survey,Proc. 31st ACM SIGKDD Conf. Knowl. Discovery Data Mining 2025,https://doi.org/10.1145/3711896.3736570,no,"ACM camera-ready, not redistributable",yes
pan2024unifyingkg,,,Unifying Large Language Models and Knowledge Graphs: A Roadmap,IEEE Trans. Knowl. Data Eng. 2024,https://doi.org/10.1109/TKDE.2024.3352100,no,"IEEE camera-ready, not redistributable",yes
pan2024vectordb,,,Survey of Vector Database Management Systems,VLDB J. 2024,https://doi.org/10.1007/s00778-024-00864-x,no,"Springer camera-ready, not redistributable",yes
wang2024llmagentSurvey,,,A Survey on Large Language Model based Autonomous Agents,Front. Comput. Sci. 2024,https://doi.org/10.1007/s11704-024-40231-1,no,"Springer camera-ready, not redistributable",yes
wang2025empowering,,,Empowering edge intelligence: A comprehensive survey on on-device ai models,ACM Comput. Surv. 2025,https://doi.org/10.1145/3724420,no,"ACM camera-ready, not redistributable",yes
wu2025enhancing,,,Enhancing text annotation through rationale-driven collaborative few-shot prompting,"Proc. IEEE Int. Conf. Acoust., Speech Signal Process. (ICASSP) 2025",https://doi.org/10.1109/ICASSP49660.2025.10889661,no,"IEEE camera-ready, not redistributable",yes
