folder,file,title,venue_year,url,audit,audit_detail,system,bibkey,cited_in_survey,also_filed_under,version_pair,renamed_from
01_overview_surveys,01_overview_surveys/A Comprehensive Survey of Self-Evolving AI Agents_ A New Paradigm Bridging Foundation Models and Lifelong Agentic Systems.pdf,A Comprehensive Survey of Self-Evolving AI Agents: A New Paradigm Bridging Foundation Models and Lifelong Agentic Systems,arXiv preprint 2025,https://arxiv.org/abs/2508.07407,not retained,survey,,fang2025selfevolvingsurvey,yes,,,
01_overview_surveys,01_overview_surveys/A Survey of Context Engineering for Large Language Models.pdf,A Survey of Context Engineering for Large Language Models,arXiv preprint 2025,https://arxiv.org/abs/2507.13334,not retained,survey,,mei2025contextengineering,yes,,,
01_overview_surveys,01_overview_surveys/A Survey of Self-Evolving Agents_ On Path to Artificial Super Intelligence.pdf,"A Survey of Self-Evolving Agents: What, When, How, and Where to Evolve on the Path to Artificial Super Intelligence",Trans. Mach. Learn. Res. 2026,https://openreview.net/forum?id=CTr3bovS5F,not retained,survey,,gao2026selfevolvingagents,yes,,,
01_overview_surveys,01_overview_surveys/A Survey on In-context Learning.pdf,A Survey on In-context Learning,Proc. Conf. Empirical Methods Natural Lang. Process. 2024,https://aclanthology.org/2024.emnlp-main.64/,not retained,survey,,dong2024iclSurvey,yes,04_context_engineering_icl_memory/A Survey on In-context Learning.pdf,,
01_overview_surveys,01_overview_surveys/Creativity in LLM-based Multi-Agent Systems_ A Survey.pdf,Creativity in LLM-based Multi-Agent Systems: A Survey,Proc. Conf. Empirical Methods Natural Lang. Process. 2025,https://aclanthology.org/2025.emnlp-main.1403/,not retained,survey,,lin2025creativity,yes,,,
01_overview_surveys,01_overview_surveys/Large Language Model based Multi-Agents_ A Survey of Progress and Challenges.pdf,Large Language Model Based Multi-Agents: A Survey of Progress and Challenges,Proc. 33rd Int. Joint Conf. Artif. Intell. 2024,https://www.ijcai.org/proceedings/2024/890,not retained,survey,,guo2024llmbasedmultiagentSurvey,yes,,,
01_overview_surveys,"01_overview_surveys/Multi-Agent Autonomous Driving Systems with Large Language Models_ A Survey of Recent Advances, Resources, and Future Directions.pdf","Multi-Agent Autonomous Driving Systems with Large Language Models: A Survey of Recent Advances, Resources, and Future Directions",Findings Assoc. Comput. Linguistics: EMNLP 2025,https://aclanthology.org/2025.findings-emnlp.683/,not retained,survey,,cui2024autodrivingSurvey,yes,,"05_industry_applications/Multi-Agent Autonomous Driving Systems with Large Language Models_ A Survey of Recent Advances, Resources, and Future Directions.pdf",
02_multi_agent_frameworks,02_multi_agent_frameworks/AgentDropout_ Dynamic Agent Elimination for Token-Efficient and High-Performance LLM-Based Multi-Agent Collaboration.pdf,AgentDropout: Dynamic Agent Elimination for Token-Efficient and High-Performance LLM-Based Multi-Agent Collaboration,ACL 2025,https://aclanthology.org/2025.acl-long.1170/,retained,topology; Γ identifiable; cost full,AgentDropout,wang2025agentdropout,yes,06_evaluation_benchmarks_safety/AgentDropout_ Dynamic Agent Elimination for Token-Efficient and High-Performance LLM-Based Multi-Agent Collaboration.pdf,,
02_multi_agent_frameworks,02_multi_agent_frameworks/AgentVerse_ Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors.pdf,AgentVerse: Facilitating Multi-Agent Collaboration and Exploring Emergent Behaviors,ICLR 2024,https://openreview.net/forum?id=EHg5GDnyq1,retained,role-play; Γ not identifiable; cost N,AgentVerse,chen2023agentverse,yes,,,
02_multi_agent_frameworks,02_multi_agent_frameworks/AutoGen_ Enabling Next-Gen LLM Applications via Multi-Agent Conversations.pdf,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversations,COLM 2024,https://openreview.net/forum?id=BAakY1hNKS,retained,workflow; Γ not identifiable; cost N,AutoGen,wu2023autogen,yes,,,
02_multi_agent_frameworks,02_multi_agent_frameworks/Beyond Frameworks_ Unpacking Collaboration Strategies in Multi-Agent LLM Systems.pdf,Beyond Frameworks: Unpacking Collaboration Strategies in Multi-Agent Systems,ACL 2025,https://aclanthology.org/2025.acl-long.1037/,retained,other; Γ not identifiable; cost partial,Beyond Frameworks,wang2025beyondframeworks,yes,,,
02_multi_agent_frameworks,02_multi_agent_frameworks/CAMEL_ Communicative Agents for Mind Exploration of Large Language Model Society.pdf,CAMEL: Communicative Agents for Mind Exploration of Large Language Model Society,NeurIPS 2023,https://doi.org/10.52202/075280-2264,retained,role-play; Γ not identifiable; cost N,CAMEL,li2023camel,yes,,,
02_multi_agent_frameworks,02_multi_agent_frameworks/ChatDev_ Communicative Agents for Software Development.pdf,ChatDev: Communicative Agents for Software Development,ACL 2024,https://aclanthology.org/2024.acl-long.810/,retained,workflow; Γ not identifiable; cost full,ChatDev,qian2023chatdev,yes,02_multi_agent_frameworks/ChatDev_ Communicative Agents for Software Development (duplicate copy).pdf,,
02_multi_agent_frameworks,"02_multi_agent_frameworks/Loosely-Structured Software_ Engineering Context, Structure, and Evolution Entropy in Runtime-Rewired Multi-Agent Systems.pdf","Loosely-Structured Software: Engineering Context, Structure, and Evolution Entropy in Runtime-Rewired Multi-Agent Systems",preprint 2026,https://arxiv.org/abs/2603.15690,retained,topology; Γ not identifiable; cost partial,Loosely-Structured SW,zhang2026lss,yes,,,
02_multi_agent_frameworks,"02_multi_agent_frameworks/MAgIC_ Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration.pdf","MAgIC: Investigation of Large Language Model Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration",Proc. Conf. Empirical Methods Natural Lang. Process. 2024,https://aclanthology.org/2024.emnlp-main.416/,not retained,"benchmark of MAS, proposes no MAS method",,chen2024magic,yes,"06_evaluation_benchmarks_safety/MAgIC_ Investigation of LLM Powered Multi-Agent in Cognition, Adaptability, Rationality and Collaboration.pdf",,
02_multi_agent_frameworks,02_multi_agent_frameworks/MegaAgent_ A Large-Scale Autonomous LLM-based Multi-Agent System Without Predefined SOPs.pdf,MegaAgent: A Large-Scale Autonomous LLM-based Multi-Agent System Without Predefined SOPs,Findings-ACL 2025,https://aclanthology.org/2025.findings-acl.259/,retained,hierarchy; Γ not identifiable; cost partial,MegaAgent,wang2025megaagent,yes,,,
02_multi_agent_frameworks,02_multi_agent_frameworks/MetaGPT_ Meta Programming for A Multi-Agent Collaborative Framework.pdf,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,ICLR 2024,https://openreview.net/forum?id=VtmBAGCN7o,retained,workflow; Γ not identifiable; cost partial,MetaGPT,hong2024metagpt,yes,,,
02_multi_agent_frameworks,02_multi_agent_frameworks/Mixture-of-Agents Enhances Large Language Model Capabilities.pdf,Mixture-of-Agents Enhances Large Language Model Capabilities,ICLR 2025,https://openreview.net/forum?id=h0ZfDIrj7T,retained,aggregation; Γ identifiable; cost partial,Mixture-of-Agents,wang2025mixture,yes,,,
02_multi_agent_frameworks,02_multi_agent_frameworks/MultiAgentBench_ Evaluating the Collaboration and Competition of LLM agents.pdf,MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents,Proc. 63rd Annu. Meeting Assoc. Comput. Linguistics 2025,https://aclanthology.org/2025.acl-long.421/,not retained,benchmark,,zhu2024multiagentbench,yes,06_evaluation_benchmarks_safety/MultiAgentBench_ Evaluating the Collaboration and Competition of LLM Agents.pdf,,
02_multi_agent_frameworks,02_multi_agent_frameworks/Scaling Large Language Model-based Multi-Agent Collaboration.pdf,Scaling Large Language Model-based Multi-Agent Collaboration,ICLR 2025,https://openreview.net/forum?id=K3n5jPkrU6,retained,topology; Γ not identifiable; cost N,MacNet,chen2025scaling,yes,,,
